,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
10,2020-04-05 00:00:00,Vehicle loan or lease,Loan,Struggling to pay your loan,Denied request to lower payments,"Hi! My name is XXXX ( full name : XXXX XXXX ) and I am contacting regarding my auto loan with Chrysler Capital. In XX/XX/XXXX I have arrived to the dealership and applied for a car loan. They approved me with 20 % APR and informed that I will be able to lower the apr as low as 2.99 % after I complete 7 payments in time. After paying the monthly payments in time I contacted Chrysler Capital to ask to lower the apr and my monthly payments but they rejected my inquiry. Also, I found that 80 % of the money I paid since XX/XX/XXXX were counted as an interested and in fact I paid almost nothing to cover my actual loan. Now in XX/XX/XXXX, I still owe almost the same amount as I owed in XX/XX/XXXX. I am not able to continue my payments with the given APR as my plan was to pay only during 7 month. I can pay in time my debt if I can receive the normal APR that my credit profile deserves but the company is rejecting to negotiate and I was rejected with another bank to refinance. Please help me in this situation. 

Chrysler Capital loan terms are unfair, they are damaging my life : I cant afford healthcare, save money or any vacation and all of these forcing me to file a complain. If they never told me that I can lower my apr after 7 payments I would not sign for that deal.",None,Santander Consumer USA Holdings Inc.,CA,951XX,None,Consent provided,Web,2020-04-05 00:00:00,Closed with explanation,Yes,,3636470
11,2/19/2020,Vehicle loan or lease,Loan,Problems at the end of the loan or lease,Unable to receive car title or other problem after the loan is paid off,There appears to be a discrepancy of the amount I show I've paid and the amount the bank claims I still owe for my vehicle. I've included the communication with the bank and despite my efforts to resolve this issue the bank states that they will repossess my vehicle unless I pay what they show even though they've not provided a breakdown vs. the breakdown I show.,None,"HUNTINGTON NATIONAL BANK, THE",IN,None,None,Consent provided,Web,2/19/2020,Closed with explanation,Yes,,3536677
12,3/16/2020,Vehicle loan or lease,Loan,Struggling to pay your loan,Loan balance remaining after the vehicle is repossessed and sold,"I voluntarily surrendered a XXXX XXXX after it kept breaking down. I paid thousands of dollars to have multiple items fixed and then the engine had to be replaced. I had a vehicle warranty on it, and it did not cover all the parts ( the auto dealership told me it was bumper to bumper ). It was beyond the lemon law time period, and they would not work with me. They sold it for an amount beyond what they have on my credit report after I surrendered the XXXX. I tried settling the amount and they will not work with me. I have disputed Credit Acceptance Corporation 's amount and also asked for them to remove the account off my credit.",None,CREDIT ACCEPTANCE CORPORATION,TX,761XX,None,Consent provided,Web,3/16/2020,Closed with explanation,Yes,,3568930
13,2020-09-03 00:00:00,Checking or savings account,Savings account,Managing an account,Deposits and withdrawals,"I am not able to access my money with Synchrony 's savings bank account to pay the mortgage and credit card bills. As an online-only bank, they have no physical branch and the only way to access funds is via transfer in/out to another financial institutions. Per the FAQ on their website, there is a maximum of 10 external account connection. I only have 3 active external account and could not add a new external account. I recently transfer my mortgage to a new Bank and need to transfer funds to the new Bank to pay my mortgage and credit card bills. I spoke with an agent and her manager and they told me because I have deleted 22 old eternal account, I have reached the system 's maximum limit of 25. I don't understand how old and deleted external account connection are still in their system and count against my ability to access funds. I have 3 active external account and should be able to add 7 more. The agent and her supervisor told me I could initiate a wire transfer to access funds but that will cost {$35.00} per request. Synchrony is creating undue barriers and obstacles for consumers to access their funds through antiquated rules and systems and forcing consumers to use high cost withdrawal methods to generate fees.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,DE,197XX,None,Consent provided,Web,2020-09-03 00:00:00,Closed with explanation,Yes,,3560049
14,2020-11-03 00:00:00,Checking or savings account,Savings account,Managing an account,Banking errors,Citibank made a transfer from my old bank account to my new account at Citibank for {$50000.00} on XX/XX/XXXX. This transaction was not authorized by me. My old bank account did not have {$50000.00} in it causing a {$35.00} overdraft fee. Citibank refuses to pay for the overdraft fee!,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,None,None,Consent provided,Web,2020-11-03 00:00:00,Closed with monetary relief,Yes,,3563145
15,3/21/2020,Vehicle loan or lease,Loan,Struggling to pay your loan,Denied request to lower payments,Contacted company stating that I've been laid off because of the pandemic. I'm a XXXX XXXX XXXX n having a hard time paying any bill. Spoke to the company. They reported negative remark on credit report. Told them that payments can not be made if no income is coming in till the pandemic is over.. They stated whatever money to send in n high interest rate on a daily basis.. At this rate I'll owe 3x the amount on loan. Predatory lender.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CREDIT ACCEPTANCE CORPORATION,NY,12550,None,Consent provided,Web,3/21/2020,Closed with explanation,Yes,,3575043
16,3/14/2020,Vehicle loan or lease,Loan,Struggling to pay your loan,Denied request to lower payments,"Making regular monthly payments yet company is still calling and its getting out of hand. There are times they call me and when I answer no one is on the other line. Again Im making regular monthly payments. I have filed fcc complaints for the ghost calls, now usaa is calling numbers that are family members not mine, which I have asked them to stop.",Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,MA,None,Servicemember,Consent provided,Web,3/14/2020,Closed with explanation,Yes,,3566524
17,3/13/2020,Checking or savings account,Savings account,Closing an account,Company closed your account,I opened high interest online savings account in XX/XX/2020 in mid XXXX they closed it without reason or given explanation. I'm told that they will mail me a check after 60 days which means XX/XX/XXXX-XX/XX/2020 which is ridicules. This is my hard earned saving XXXX and now I don't even have access to it. Please help.,None,DISCOVER BANK,TX,770XX,None,Consent provided,Web,3/13/2020,Closed with explanation,Yes,,3565951
18,3/18/2020,Vehicle loan or lease,Loan,Managing the loan or lease,Problem with additional products or services purchased with the loan,"On XX/XX/2020 I traded my vehicle and the dealership over paid credit acceptance by {$630.00} and they also owe me for {$1500.00} for gap insurance and {$1400.00} for my warranty. We have contacted them several times and they refuse to give us back our money. Straight out said they were keeping it and will not explain why. They said they would give us {$7.00}. This is fraudulent and I want my money back. 

They lied about the amount on the check they received from XXXX XXXX XXXX sales for the pay off. XXXX XXXX sent a check for {$15000.00} and Credit Acceptance admitted the pay off was {$14000.00}. They put it on the account like they didnt get the overpayment of {$630.00} put there is a paper trail at the dealership that says different. Also they admit they owe for gap insurance refund and refuse to give it back.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CREDIT ACCEPTANCE CORPORATION,GA,None,None,Consent provided,Web,3/18/2020,Closed with explanation,Yes,,3570397
19,3/27/2020,Vehicle loan or lease,Loan,Managing the loan or lease,Problem with additional products or services purchased with the loan,I purchased a used XXXX XXXX from XXXX XXXX in XXXX XXXX South Carolina on XX/XX/2019 with an extended warranty. Two days after purchasing the car an electrical error caused my E-brake to malfunction and destroy my rear brake assembly. XXXX XXXX was kind enough to repair it for me but left me with no car for over a week. The day I got it back I noticed a horrible noise coming from the front end turns out the axel and tie rods were broken. When I reached out to XXXX XXXX they told me they knew but it is not there problem and now ups have to wait 30 days for my warranty to be active to fix this ( which was a lie ). Turns out this was a problem the car had before it was even sold to me. I found this information out when I brought it into XXXX on XXXX highway and they told me they already had records of this issue from the previous owner. Well after having this repaired a week later I hear more noise coming from the front finally get it into XXXX to find out another unknown error caused my front end braking assembly to get destroyed due to the brakes seizing up. my warranty which was Supposed to cover all things that make the car move forward doesnt cover this so no I have to spend an additional XXXX dollars again. When I asked to cancel the warranty as they wont cover these issues I am told it is not under my name but my co-signers name and I have no say.,None,CAPITAL ONE FINANCIAL CORPORATION,SC,294XX,None,Consent provided,Web,3/27/2020,Closed with explanation,Yes,,3582290
20,4/25/2020,Vehicle loan or lease,Loan,Incorrect information on your report,Information belongs to someone else,The loan is not mine and Ive already reported to the company of such information in 2019. The account belongs to someone else. My information was wrongfully used. The company Car financial services is still reporting to all three credit bureaus that I have an outstanding balance.,None,"CARS Acquisition, LLC",FL,337XX,None,Consent provided,Web,4/25/2020,Closed with explanation,Yes,,3622498
21,2020-03-01 00:00:00,Vehicle loan or lease,Loan,Managing the loan or lease,Billing problem,"In XX/XX/XXXX I decided to refinance my car loan for a new vehicle that I had purchased in XX/XX/XXXX. The original financing was through NMAC ( Nissan Motor Acceptance Corp. ) I refinanced online through XXXX  XXXX. It appeared that all had gone well with XXXX XXXX notifying me that my loan was approved and the payoff was sent to NMAC. I paid my first payment with XXXX XXXX In XXXX. Prior to making that payment, I happened to check my NMAC account online to find that the my loan was showing that it was still active, and there was a large payment applied to the loan on XX/XX/XXXX, but it was not the full payoff amount. Further, it showed my monthly payment was increased from {$510.00} to over {$600.00} and the a payment was not due until the year XXXX! I knew something was wrong. I contacted NMAC and was told that XXXX XXXX did not send the correct payoff amount. The person also told me that they were unable to see where this partial payment came from which was unusual and he said that they would open an investigation on the account. He also said that if I could contact XXXX XXXX and try to get a copy of the payoff amount check and forward it to NMAC I then contacted XXXX  XXXX, where I was assured that the proper payoff amount was sent and to give NMAC some time to complete the investigation and if it didn't resolve to call back. Well it didn't resolve, NMAC insists XXXX XXXX sent the wrong amount. So I provided NMAC with the USPS tracking number of the check that XXXX  XXXX sent and that shows it was received on XX/XX/XXXX. My NMAC account showed that a large payment of XXXX was made on XX/XX/XXXX so that makes no sense since the check didn't arrive until the following day. several phone calls between both lenders for the month of XXXX yielded no results. I have been the middle man in a clash of the titans here where I have no control nor access to any of the data that can prove anything. I finally got XXXX  XXXX to initiate a 3 way conference call with NMAC in early XXXX, where XXXX  XXXX stated that they would fax a copy of the check to NMAC to prove the full payoff was sent. NMAC stated it would take up to 21 days for ANOTHER investigation to be completed. So I called NMAC 21 days later to find again no progress, still saying it's XXXX XXXX 's fault. Back to XXXX XXXX, I now have a point of contact there, her name is XXXX. She contacted me right after XXXX, to update me that on there end it shows that NMAC never deposited the check even though someone signed for it, so NMAC lost it. The partial payment on my account was another error on NMAC and that they were going to remove that payment and that they working on getting the payoff finalized once again. 

Here 's the problem. I technically have 2 open loans on the same vehicle, I had been paying XXXX  XXXX for 3 months and on NMACs end it originally showed that I didn't have a payment due until XXXX. Now that that erroneous payment has been removed it now shows me 3 payments behind NMAC and when I try to call NMAC to speak with someone handling my case about the refinance fiasco I get dumped to collections automatically and all the want for me is to make payments. I am a XXXX, retired XXXX  injured in the the line of duty and I live on a fixed income and there is no way I can make 2 car payments on the same vehicle until these people figure all this out. 

Now I'm concerned that NMAC will be reporting these late payments to my credit report and I feel that this is unjust. They lost the payoff check, from what little info I'm provided it appears NMAC is at fault, yet I'm in the middle being torn apart.

In my soon to be XXXX  years on this planet, this has to be the most incompetence I've seen from a financial institution. XXXX XXXX I'm not happy with as well as they really take no responsibility to confirming that the institution being paid off has actually received, credited the proper payoff, and closed out the old loan before XXXX XXXX sends the consumer the refinance completion along with a first statement to be paid on the new loan I want this resolved. I want NMAC to correct any info that they plan on submitting to the credit bureaus, I'd like to just pay my XXXX  XXXX loan and get on with my life. I'm calling XXXX  XXXX today and I'm hoping that they expedited the second payoff to NMAC",None,NISSAN MOTOR ACCEPTANCE CORPORATION,MA,None,None,Consent provided,Web,2020-03-01 00:00:00,Closed with explanation,Yes,,3484303
22,2020-05-04 00:00:00,Vehicle loan or lease,Loan,Managing the loan or lease,Billing problem,"After making bi-weekly payments, and requesting past due amounts, which was mailed to my home on XXXX XXXX which showed past due late fees of XXXX. Chysler Capital repossessed my car on XXXX XXXX my car was tooken by a recovery company with NO repo order. I also never received any statements in over 9 months which I called and complained several time on. 
I called the police the police ran my VIN and no repo order was out for my car. 
The Reinstatement Department is now telling I owe XXXX, to get my car back and they will not allow me to pay XXXX, or any types of payments arrangements. 

I spoke to several agents and was told that prior Repo order XX/XX/XXXX was lifted, then a collection agent told me my car was repo due to paying biweekly instead of monthly. I have always paid bi-weekly since the start of the loan in XXXX. 

I'm asking to have my account reviewed my management to retrieve my car for a lesser amount due having a hardship and the current Pandemic I can not afford XXXX. The collection department will not let me speak to management regarding this hardship.",None,Santander Consumer USA Holdings Inc.,MO,631XX,None,Consent provided,Web,2020-05-04 00:00:00,Closed with explanation,Yes,,3593622
23,3/22/2020,Vehicle loan or lease,Loan,Getting a loan or lease,Problem with additional add-on products or services purchased with the loan,I have two vechile on my credit report that been on car accidents that the cars are total out. One car was payed off. The other car was not payed off.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CREDIT ACCEPTANCE CORPORATION,AL,35217,None,Consent provided,Web,3/24/2020,Closed with explanation,Yes,,3575551
24,4/21/2020,Vehicle loan or lease,Loan,Incorrect information on your report,Old information reappears or never goes away,On XX/XX/2020 payment of XXXX $ was submitted to Chrysler Capital as a settle in full offering and was advised that this will be deleted from my credit report since the account was considered Paid In Full.,None,Santander Consumer USA Holdings Inc.,LA,None,None,Consent provided,Web,4/21/2020,Closed with explanation,Yes,,3616203
25,2020-01-05 00:00:00,Vehicle loan or lease,Loan,Incorrect information on your report,Account status incorrect,"I have not received confirmation not certified testimony that your offices complied with the FCRA and all its mandated rules when it comes to reporting accurately. Therefore, you are to present to me with a certificate in testimony that the fraudulent inquiries present in Exhibit C are in fact compliant and not subterfuge? ( Copied from AFFIDAVIT** ) All items listed in Exhibit B are fraudulent, invalid, inaccurate, not timely, and carry no documented evidence of their existence. To the least, they have not to be authenticated as per my requirements as you are damaging my character, creditworthiness, and well-being by falsely stating those fraudulent non-compliant unverifiable inquiries on my report. ( Copied from AFFIDAVIT** )",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,33321,None,Consent provided,Web,2020-05-05 00:00:00,Closed with explanation,Yes,,3631646
26,5/20/2020,Vehicle loan or lease,Loan,Managing the loan or lease,Billing problem,The company I'm complaining about is KIA MOTOR FINANCE In XXXX of XXXX they called a reference of mine and I called them and asked do not ever call this reference again hey have contact number.In XXXX of XXXX and XXXX XXXX hey called the same reference asking them for my contact information.I called the today and advised again do not call this reference and they advised that the name is on my contract as a reference and i advised i does matter I have asked them not to contact my references because they have my contact information and i did advised i would be filing a complaint in regards to this matter This is a FDCP violation and I want this fined for it,Company has responded to the consumer and the CFPB and chooses not to provide a public response,HYUNDAI CAPITAL AMERICA,SC,293XX,None,Consent provided,Web,5/20/2020,Closed with explanation,Yes,,3661016
27,3/15/2020,Checking or savings account,Savings account,Managing an account,Banking errors,"I opened a Preferred Savings account with TD Bank in XX/XX/XXXX. This offers a preferred interest rate at 2.5 percent for the first 12 months. I had received interests at 2.5 percent until XXXX. In XX/XX/XXXX, I noticed on the account that the interest rate dropped to 0.2 percent. I have contacted the bank on XX/XX/XXXX, and I was told that there was nothing wrong. I urged the bank agent to investigate this problem, but I have not heard back.",None,TD BANK US HOLDING COMPANY,VA,None,None,Consent provided,Web,3/15/2020,Closed with explanation,Yes,,3567589
28,2020-05-03 00:00:00,Vehicle loan or lease,Loan,Struggling to pay your loan,Loan balance remaining after the vehicle is repossessed and sold,"Obtained loan to purchase a used car XX/XX/XXXX for a XXXX XXXX with 101,637 miles on odometer. 

Borrower put {$3800.00} down as deposit and borrowed {$15000.00}. 

Now it's XX/XX/XXXX and the blue book value of the car ( {$10000.00} ) is less than 50 % of the Account Balance ( {$22000.00} ). At this point there is no way to get out from under this predatory loan. 

To add insult to injury, we spent {$4000.00} fixing the car before calling to surrender it ( timing chain tensioner failed, jumped teeth, and the valves hit the piston ). 

Credit Acceptance should not be allowed to make loans like this to vulnerable consumers.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CREDIT ACCEPTANCE CORPORATION,MA,None,None,Consent provided,Web,2020-05-03 00:00:00,Closed with explanation,Yes,,3555846
29,3/18/2020,Vehicle loan or lease,Loan,Getting a loan or lease,Credit denial,"I recently received verification for my account, in which it stated Santander Consumer sent out the right to redeem, notice of sale, and post sale notices. In the past, I do not remember receiving those documents. I have asked to be provided with the certified tracking information as proof that I signed and received those documents. Due to the inability to prove that the documents were received, I request that this account be deleted, as it is a violation of the Fair Credit Reporting Act.",None,Santander Consumer USA Holdings Inc.,GA,303XX,None,Consent provided,Web,3/18/2020,Closed with explanation,Yes,,3571221
30,2020-12-02 00:00:00,Vehicle loan or lease,Loan,Managing the loan or lease,Problem with the interest rate,"in XX/XX/XXXXI bought a used XX/XX/XXXXcar and was financed through Consumer Portfolio Services. I was never told it was a simple interest loan. The interest rate is 20.45 %. The car was sold at XXXX. To date, I have paid {$16000.00} on the car and CPS has applied it all towards the INTEREST. The principle has only had XXXX applied to it. I have paid XXXX in 5 years in fees. 

I was not told that I had to "" mail payments in by check '' if I wanted it applied to the principle until I finally asked what was going on in XX/XX/XXXX. 

I am having financial difficulties and they repossessed the car on XX/XX/XXXX. I have asked them multiple times what I needed to get a lower interest rate or what I needed to do get out of this loan with no answers. 

About 3 months ago I had to tell them to stop harassing me at work and in the evenings with constant calling. 

These are deceptive lending practices. I need help. If i keep this car I will have paid almost XXXX for a XXXX car.",None,"Consumer Portfolio Services, Inc.",OH,None,None,Consent provided,Web,2020-12-02 00:00:00,Closed with explanation,Yes,,3529410
31,3/24/2020,Vehicle loan or lease,Loan,Managing the loan or lease,Loan sold or transferred to another company,On XX/XX/2020 my account with Gateway One Lending was closed. I have not received any kind of documentation on information as to who the loan sold to or who is servicing it now. I made a payment to Gateway One Lending for XXXX in the amount of {$500.00}. I was not aware the loan was no longer being serviced by them and unable to get ahold of anyone with the company.,None,Santander Consumer USA Holdings Inc.,SD,571XX,None,Consent provided,Web,3/24/2020,Closed with explanation,Yes,,3578897
